repo_name,cat1,policy_first_date,human_label,language,total_prs_db
hydraide/hydraide,permissive,2025-07-30 16:02:32,Y,Go,122
hynek/stamina,permissive,2026-04-13 06:33:08,Y,Python,92
hynek/svcs,permissive,2026-02-24 08:28:05,Y,Python,103
hyzyla/pdfium,permissive,2026-02-22 12:55:15,Y,TypeScript,26
iai-callgrind/iai-callgrind,permissive,2026-03-17 16:26:59,Y,Rust,493
iam-py-test/my_filters_001,permissive,2026-02-17 17:36:31,Y,JavaScript,24
idiap/sdialog,permissive,2025-09-24 10:36:07,Y,Python,78
ieedan/jsrepo,permissive,2025-11-24 15:31:02,Y,TypeScript,618
immich-app/immich,prohibited,2026-01-06 15:07:44,Y,TypeScript,10939
imputnet/helium,prohibited,2026-03-16 16:12:31,Y,C++,456
inclusionAI/AReaL,permissive,2025-10-21 09:08:41,Y,Python,894
Inferara/inference,permissive,2025-12-24 05:54:35,Y,Rust,84
infinidoge/nix-minecraft,prohibited,2025-08-28 18:42:06,Y,Nix,78
instructor-ai/instructor,permissive,2025-03-19 00:36:23,Y,Python,1470
IntegerAlex/hasty-server,permissive,2024-10-01 08:27:52,Y,JavaScript,69
intel/compile-time-init-build,permissive,2026-02-20 16:43:11,Y,C++,773
intel/cpp-baremetal-senders-and-receivers,permissive,2026-02-20 21:12:27,Y,C++,246
intel/safe-arithmetic,permissive,2026-02-20 21:11:53,Y,C++,89
InterceptSuite/ProxyBridge,permissive,2026-01-23 14:59:16,Y,C,15
isbeorn/nina,permissive,2026-04-15 23:00:21,Y,C#,188
jakestanger/ironbar,permissive,2026-04-14 21:24:01,Y,Rust,932
jaysmito101/cgl,permissive,2023-02-12 17:38:11,Y,C,25
jerryjliu/llama_index,permissive,2025-04-29 14:01:51,Y,Python,8931
jlowin/fastmcp,permissive,2026-03-14 20:25:35,Y,Python,2198
joaomdmoura/crewAI,permissive,2026-03-25 08:13:55,Y,Python,3325
jokob-sk/NetAlertX,permissive,2026-03-26 20:57:10,Y,JavaScript,450
jorenn92/maintainerr,permissive,2026-01-02 23:16:05,Y,TypeScript,2171
jovian-experiments/jovian-nixos,permissive,2023-09-24 02:40:30,Y,Nix,353
jozu-ai/kitops,permissive,2025-10-03 22:35:06,Y,Go,879
jsrepojs/jsrepo,permissive,2025-11-24 15:31:02,Y,TypeScript,618
jxnl/instructor,permissive,2025-03-19 00:36:23,Y,Python,1470
jxnl/openai_function_call,permissive,2025-03-19 00:36:23,Y,Python,1470
kaito-project/kubeairunway,permissive,2026-01-13 17:57:41,Y,TypeScript,153
kcenon/claude_code_agent,permissive,2025-12-27 05:55:23,Y,TypeScript,371
KempnerInstitute/kempner-computing-handbook,permissive,2024-03-05 18:21:31,Y,JavaScript,163
kesslerio/attio-mcp-server,permissive,2026-02-20 02:42:29,Y,TypeScript,673
kgateway-dev/community,permissive,2026-02-27 15:40:14,Y,Shell,117
Kieirra/murmure,permissive,2026-02-16 21:25:31,Y,TypeScript,133
kite-org/kite,permissive,2026-03-24 03:54:43,Y,TypeScript,298
kitops-ml/kitops,permissive,2025-10-03 22:35:06,Y,Go,879
kmesh-net/kmesh,permissive,2026-02-10 07:09:48,Y,Go,1111
konflux-ci/build-definitions,permissive,2025-10-15 12:58:11,Y,Shell,3401
kornia/kornia-rs,permissive,2025-12-31 17:14:25,Y,Rust,619
Kotlin/kotlinx-rpc,permissive,2026-04-02 14:17:50,Y,Kotlin,569
kubernetes-sigs/agent-sandbox,permissive,2026-04-17 22:29:03,Y,Go,455
kubeshop/testkube,permissive,2026-02-23 10:18:32,Y,Go,4238
kubestellar/docs,permissive,2025-11-20 16:35:21,Y,TypeScript,668
kubestellar/ui,permissive,2025-07-28 21:07:48,Y,TypeScript,1463
kubetail-org/kubetail,permissive,2026-01-03 05:21:54,Y,Go,756
kyu08/fzf-make,permissive,2025-08-24 14:01:30,Y,Rust,400
LadybirdBrowser/ladybird,permissive,2024-12-04 14:13:39,Y,C++,7416
LadybirdWebBrowser/ladybird,permissive,2024-12-04 14:13:39,Y,C++,7416
LeeMangold/OpenGRC,permissive,2026-01-22 22:09:37,Y,PHP,241
letta-ai/letta,permissive,2026-04-07 23:48:25,Y,Python,2017
Letterbook/Letterbook,permissive,2023-08-12 18:58:15,Y,C#,305
lightningdevkit/ldk-server,permissive,2026-01-23 20:27:20,Y,Rust,150
lightspeed-core/lightspeed-stack,permissive,2025-06-09 11:31:53,Y,Python,1507
lingarr-translate/lingarr,permissive,2025-12-12 11:36:37,Y,C#,151
linkml/linkml,permissive,2026-01-29 09:35:00,Y,Python,1476
linuxfoundation/crowd.dev,permissive,2025-10-07 12:58:38,Y,TypeScript,3459
llama-farm/llamafarm,permissive,2025-09-22 16:04:52,Y,Python,534
longbridge/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
longbridgeapp/gpui-component,permissive,2025-09-08 02:16:11,Y,Rust,1756
Lramseyer/vaporview,permissive,2026-02-19 03:41:16,Y,TypeScript,49
lrstanley/bubblezone,permissive,2026-04-18 21:23:37,Y,Go,42
