repo_name,L1_hit,L2_hit
hynek/svcs,False,True
hyochan/expo-iap,True,False
hyperdxio/hyperdx,True,True
hyperion-mc/hyperion,True,True
hyzyla/pdfium,True,False
iai-callgrind/iai-callgrind,True,True
iam-py-test/my_filters_001,False,True
idiap/sdialog,True,True
ieedan/jsrepo,True,True
ietf-wg-aipref/drafts,False,True
iloom-ai/iloom-cli,True,True
immich-app/immich,True,False
imputnet/helium,False,True
inclusionAI/AReaL,True,True
infinidoge/nix-minecraft,True,False
inspector-apm/neuron-ai,False,True
instill-ai/instill-core,False,True
instructor-ai/instructor,True,False
intel-retail/automated-self-checkout,True,False
intel/AI-Playground,False,True
intel/ai-containers,False,True
intel/compile-time-init-build,True,True
intel/cpp-baremetal-senders-and-receivers,True,True
intel/safe-arithmetic,True,True
iowarp/agent-toolkit,False,True
iowarp/clio-kit,False,True
iowarp/iowarp-mcps,False,True
isbeorn/nina,True,True
jakestanger/ironbar,True,True
jakobhoeg/browser-ai,False,True
jakobhoeg/built-in-ai,False,True
janhq/jan,False,True
janus-idp/backstage-plugins,True,False
javiarmesto/ALDC-AL-Development-Collection-for-GitHub-Copilot,False,True
jax-ml/bonsai,False,True
jaysmito101/cgl,True,True
jeddict/jeddict-ai,False,True
jentic/jentic-public-apis,False,True
jentic/oak,False,True
jerryjliu/llama_index,True,True
jina-ai/executors,False,True
jlowin/fastmcp,True,True
joaomdmoura/crewAI,True,True
jokob-sk/NetAlertX,True,True
jorenn92/maintainerr,True,True
jovian-experiments/jovian-nixos,False,True
jozu-ai/kitops,True,True
jsonresume/jsonresume.org,True,False
jsrepojs/jsrepo,True,True
juspay/neurolink,True,False
jxnl/instructor,True,False
jxnl/openai_function_call,True,False
k8tre/k8tre,True,False
kaito-project/kubeairunway,True,True
kaitranntt/ccs,True,False
kcenon/claude_code_agent,True,True
kdcokenny/ocx,True,False
kenryu42/claude-code-safety-net,True,True
kesslerio/attio-mcp-server,True,False
kgateway-dev/community,False,True
kite-org/kite,True,True
kitops-ml/kitops,True,True
kmesh-net/kmesh,True,True
konflux-ci/build-definitions,True,False
kornia/kornia-rs,True,True
kortex-hub/kortex,True,False
kubernetes-sigs/agent-sandbox,True,False
kubeshop/testkube,False,True
kubestellar/docs,True,False
kubestellar/ui,True,False
kubetail-org/kubetail,True,True
kubewarden/helm-charts,True,False
kvcache-ai/Mooncake,False,True
kyegomez/swarms,False,True
kyu08/fzf-make,True,True
kyutai-labs/delayed-streams-modeling,False,True
kyutai-labs/moshi,False,True
kyutai-labs/unmute,False,True
langchain-ai/langchainjs,False,True
langwatch/better-agents,False,True
langwatch/langwatch,False,True
lastmile-ai/mcp-agent,False,True
learntocloud/linux-ctfs,True,False
leondz/garak,False,True
letta-ai/letta,True,True
lightning-ai/tutorials,False,True
lightningdevkit/ldk-server,True,True
lightseekorg/smg,False,True
lightspeed-core/lightspeed-stack,True,True
lingarr-translate/lingarr,True,False
link-assistant/hive-mind,True,True
linkml/linkml,False,True
linuxfoundation/crowd.dev,True,True
llama-farm/llamafarm,True,True
llm-d-incubation/inferno-autoscaler,True,False
llm-d-incubation/workload-variant-autoscaler,True,False
llm-d/llm-d-workload-variant-autoscaler,True,False
longbridge/gpui-component,True,False
longbridgeapp/gpui-component,True,False
lrstanley/bubblezone,True,True
lrstanley/go-ytdlp,True,True
lumen-oss/lux,False,True
lxc/incus,True,False
lxc/incus-os,True,False
lxc/terraform-provider-incus,True,False
m3sserstudi0s/swiparr,True,True
manyfold3d/manyfold,True,True
markbeep/AudioBookRequest,True,True
marketcalls/openalgo,True,True
martin-papy/qdrant-loader,False,True
masachika-kamada/chatgpt-ctrl-enter-sender,False,True
massgen/MassGen,True,False
mastra-ai/mastra,True,False
mat-1/azalea,False,True
matheusml/zsh-ai,False,True
matter-labs/foundry-zksync,True,True
mattogodoy/nametag,True,False
mayocream/koharu,True,False
mcmonkeyprojects/SwarmUI,True,False
mediar-ai/terminator,False,True
meetbryce/open-source-slack-ai,False,True
meilisearch/firestore-meilisearch,True,True
meilisearch/meilisearch-rails,True,True
meilisearch/mini-dashboard,True,True
meilisearch/strapi-plugin-meilisearch,True,True
meltano/meltano,False,True
memorysafety/ntpd-rs,False,True
memorysafety/sudo-rs,False,True
mendableai/firecrawl,False,True
meta-pytorch/applied-ai,False,True
microfox-ai/microfox,False,True
microsoft/hi-ml,False,True
microsoft/simplechat,True,False
microsoft/teams.py,False,True
microsoft/virtualclient,True,False
microsoft/vscode-copilot-chat,False,True
mit-ll-responsible-ai/hydra-zen,False,True
mitsuhiko/minijinja,True,True
mixedbread-ai/mgrep,False,True
mlsanigeria/naija-nutri-hub,True,True
mnfst/manifest,False,True
mobile-dev-inc/maestro,True,False
modelcontextprotocol/modelcontextprotocol,True,True
modelcontextprotocol/specification,True,True
modelcontextprotocol/typescript-sdk,True,False
modular/max,True,True
modularml/mojo,True,True
moeru-ai/airi,False,True
mofa-org/mofa,True,False
moff-station/moff-station-14,True,True
moongardenmods/allium,False,True
motion-canvas/motion-canvas,False,True
moxin-org/mofa,True,False
mozilla-ai/any-agent,False,True
mozilla-ai/document-to-podcast,False,True
mozilla-ai/lumigator,False,True
mozilla-ai/mcpd,False,True
mr-karan/logchef,True,False
mrkai77/loop,True,True
msitarzewski/agency-agents,False,True
mudler/LocalAI,True,True
mustbeperfect/definitive-opensource,True,True
my-badges/my-badges,True,False
n00bcodr/Jellyfin-Enhanced,True,False
neocortexdb/functime,False,True
netalertx/NetAlertX,True,True
neuron-core/neuron-ai,False,True
new-frontiers-14/frontier-station-14,True,False
nhost/nhost,True,True
nightkr/flickboard,False,True
nightscout/Trio,True,True
niri-wm/niri,True,False
nix-community/harmonia,True,False
nix-community/nh,True,True
nlzy/vllm-gfx906,False,True
noble-lab/casanovo,True,True
nomic-ai/gpt4all,False,True
nook-browser/Nook,True,True
northwindlabs/ai-atlas,False,True
notakto/notakto-website,False,True
notaryproject/ratify,True,False
nuwax-ai/nuwax,False,True
nvidia-holoscan/holohub,False,True
o2lab/afc-crs-all-you-need-is-a-fuzzing-brain,True,False
obi1kenobi/cargo-semver-check,True,True
obi1kenobi/cargo-semver-checks,True,True
offchainlabs/nitro,True,False
ofkm/arcane,True,True
olimorris/codecompanion.nvim,True,True
om-ai-lab/OmAgent,False,True
onthegomap/flatmap,True,False
onthegomap/planetiler,True,False
open-biz/OpenBookLM,False,True
open-edge-platform/edge-ai-libraries,False,True
open-edge-platform/edge-ai-suites,False,True
open-telemetry/opentelemetry-ebpf-instrumentation,True,True
open-telemetry/opentelemetry-go-compile-instrumentation,True,True
open-thought/reasoning-gym,False,True
openbao/openbao,True,True
openbao/openbao-helm,True,True
openclaw/openclaw,True,True
openpubkey/openpubkey,True,False
openpubkey/opkssh,True,False
opentofu/tofu-ls,True,False
