repo_name,bin,new_prs,total_closed,review_comments_mean,close_latency_h,prohibited,language,stars,contributors,commits,repo_age_days,time,intervention,time_after,log_new_prs,log_total_closed,log_review_comments_mean,log_close_latency_h,log_stars,log_contributors,log_commits,log_repo_age_days,prs_closed_in_bin,log_prs_closed_in_bin
lxc/incus-os,-1,47,46,0.9361702127659576,16.23336352657005,1,Go,886,19,2620,496,4,0,0,3.871201010907891,3.8501476017100575,0.6607119048067914,2.84684724487008,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,68,4.23410650459726
lxc/incus-os,1,88,88,1.1136363636363635,15.30006313131313,1,Go,886,19,2620,496,6,1,1,4.48863636973214,4.48863636973214,0.7484098592349946,2.791168980891912,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,64,4.174387269895637
lxc/incus-os,2,77,77,1.6623376623376624,8.976363636363637,1,Go,886,19,2620,496,7,1,2,4.356708826689592,4.356708826689592,0.9792045572847244,2.300218658832459,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,78,4.3694478524670215
lxc/incus-os,3,54,54,1.2592592592592593,15.112124485596713,1,Go,886,19,2620,496,8,1,3,4.007333185232471,4.007333185232471,0.8150369981689823,2.779572062212292,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,45,3.828641396489095
lxc/incus-os,4,56,56,1.0,11.07309523809524,1,Go,886,19,2620,496,9,1,4,4.04305126783455,4.04305126783455,0.6931471805599453,2.4909794428385794,6.787844982309579,2.995732273553991,7.8713112033234065,6.208590026096629,59,4.0943445622221
turbowarp/extensions,-4,92,92,1.2282608695652173,427.6805042270532,0,JavaScript,170,67,1147,1801,1,0,0,4.532599493153256,4.532599493153256,0.8012214020893679,6.060711896075917,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,88,4.48863636973214
turbowarp/extensions,-3,90,89,0.7444444444444445,1043.1241260923846,0,JavaScript,170,67,1147,1801,2,0,0,4.51085950651685,4.499809670330265,0.556436135018043,6.950933656099672,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,57,4.060443010546419
turbowarp/extensions,-2,73,73,0.8082191780821918,1070.020871385084,0,JavaScript,170,67,1147,1801,3,0,0,4.30406509320417,4.30406509320417,0.5923424814379797,6.976367558012378,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,79,4.382026634673881
turbowarp/extensions,-1,116,112,0.8620689655172413,1260.1256919642856,0,JavaScript,170,67,1147,1801,4,0,0,4.762173934797756,4.727387818712341,0.6216882165778004,7.1397600074164975,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,81,4.406719247264253
turbowarp/extensions,1,25,21,0.56,862.0472354497355,0,JavaScript,170,67,1147,1801,6,1,1,3.258096538021482,3.091042453358316,0.4446858212614457,6.76046942359454,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,36,3.6109179126442243
turbowarp/extensions,2,30,26,0.9333333333333332,600.4911858974359,0,JavaScript,170,67,1147,1801,7,1,2,3.4339872044851463,3.295836866004329,0.659245628884264,6.399411881770272,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,24,3.2188758248682006
turbowarp/extensions,3,31,28,1.096774193548387,1457.779732142857,0,JavaScript,170,67,1147,1801,8,1,3,3.4657359027997265,3.367295829986474,0.7404000654104909,7.28535556532475,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,17,2.8903717578961645
turbowarp/extensions,4,42,33,0.5714285714285714,1245.424537037037,0,JavaScript,170,67,1147,1801,9,1,4,3.7612001156935615,3.5263605246161616,0.4519851237430572,7.12803436124896,5.14166355650266,4.219507705176107,7.045776576879511,7.496652438168283,48,3.8918202981106265
polarsource/polar,-4,130,130,0.0461538461538461,57.88771794871795,0,Python,9556,112,13817,1070,1,0,0,4.875197323201151,4.875197323201151,0.0451204352804696,4.0756325451225655,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,179,5.19295685089021
polarsource/polar,-3,198,198,0.1818181818181818,91.04519640852972,0,Python,9556,112,13817,1070,2,0,0,5.293304824724492,5.293304824724492,0.1670540846631662,4.52227972172785,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,182,5.209486152841421
polarsource/polar,-2,160,160,0.5375,73.336625,0,Python,9556,112,13817,1070,3,0,0,5.081404364984463,5.081404364984463,0.4301577206985359,4.308603764322778,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,157,5.062595033026967
polarsource/polar,-1,243,243,0.2716049382716049,68.05884430727022,0,Python,9556,112,13817,1070,4,0,0,5.497168225293202,5.497168225293202,0.2402798335571969,4.234958957203666,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,309,5.736572297479192
polarsource/polar,1,349,349,0.4297994269340974,35.45072429162687,0,Python,9556,112,13817,1070,6,1,1,5.857933154483459,5.857933154483459,0.3575341735490915,3.595961329083771,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,346,5.849324779946859
polarsource/polar,2,454,453,0.2070484581497797,40.304788447387786,0,Python,9556,112,13817,1070,7,1,2,6.12029741895095,6.118097198041348,0.1881780889066676,3.7209784362821368,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,528,6.270988431858299
polarsource/polar,3,343,343,0.2915451895043732,71.98184564301911,0,Python,9556,112,13817,1070,8,1,3,5.840641657373398,5.840641657373398,0.2558393228791957,4.290210720398294,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,314,5.752572638825633
polarsource/polar,4,484,481,0.146694214876033,43.48200334950335,0,Python,9556,112,13817,1070,9,1,4,6.184148890937483,6.1779441140506,0.1368832070298028,3.795084688260446,9.16502914926618,4.727387818712341,9.53372736904874,6.976348070447749,452,6.115892125483034
kyu08/fzf-make,-4,45,45,0.0444444444444444,17.787314814814817,0,Rust,265,16,394,1029,1,0,0,3.828641396489095,3.828641396489095,0.0434851119397388,2.933181898200963,5.583496308781699,2.833213344056216,5.978885764901122,6.937314081223682,47,3.8712010109078907
